Species,Order,Spec.syn,gen_spec,Taxa,Mass_g,Tb,Tlc,Tuc,BMR_mlO2_h,CMIN_mlO2_hC,BMR_W,Source,diet,Nocturnal,torpor,Nconstrained,Sconstrained,Tmin,Tmedian.min,T5q.min,T10q.min,Tsd.min,Tmad.min,Tmax,Tmedian.max,T5q.max,T10q.max,Tsd.max,Tmad.max,UpperLat,LowerLat,ShapeName,Area,CollectionLon,CollectionLat,Phase,capture_quality,PostabsorptiveState,
Aotus trivirgatus,Aotidae,Aotus trivirgatus,Aotus_trivirgatus,Mammal,1020,38.15,28,30,458.4388889,NA,2.561111111,KhaliqHof,Omnivore,1,0,0,0,17.4,21.5,19.6,19.7,1.09057852,1.18608,36.2,33.2,35.86,35.22,1.374775347,NA,7.809835593,-3.250264407,NA,149,-80,-9,rest,trapped,postabsorptive,
Aplodontia rufa,Rodentia,Aplodontia rufa,Aplodontia_rufa,Mammal,630,38,26.5,35,277.2,24.1,1.547222222,KhaliqHof,PlantSeed,1,0,0,0,-13.7,-4.95,-12.89,-11.53,5.039979359,7.04235,33.7,26.5,30.83,30.5,4.012450653,NA,50.14683559,36.30773559,NA,78,-123.33,44.3,active,trapped,notpostabsorptive,
Apodemus mystacinus,Rodentia,Apodemus mystacinus,Apodemus_mystacinus,Mammal,42.3,38.3,28,32,70.6,6.85,0.313888889,KhaliqHof,Omnivore,1,0,0,0,-13.8,1.6,-11.9,-9.53,5.31993695,1.77912,42.7,32.95,41.555,39.83,4.222256653,NA,43.18195827,30.5627616,NA,250,35,33,NA,trapped,NA,
Arctictis binturong,Carnivora,Arctictis binturong,Arctictis_binturong,Mammal,14280,36,27,36,1128.1,125.34,6.291666667,KhaliqHof,Omnivore,1,0,0,1,-24,6,-17.83,-14.9,13.32841168,18.5325,35.2,32,33.26,32.6,1.490026594,NA,28.69453559,-7.816064407,NA,375,NA,NA,rest,NA,postabsorptive,
Arctogalidia trivirgata,Carnivora,Arctogalidia trivirgata,Arctogalidia_trivirgata,Mammal,2010,36.2,19,38,552.8,32.14,3.083333333,KhaliqHof,Omnivore,1,0,0,1,-10.4,11.6,-2.81,2.5,8.563336169,10.67472,35.7,32,34.01,32.6,1.33173095,NA,28.24083559,-6.900864408,NA,330,NA,NA,rest,captive,postabsorptive,
Artibeus concolor,Chiroptera,Artibeus concolor,Artibeus_concolor,Mammal,19.7,35,29,38,39.8,6.63,0.183333333,KhaliqHof,FruiNect,1,0,0,0,13.8,17,14.7,15.1,1.531873231,1.4826,35.7,33.6,35.2,35,1.665406973,NA,10.02043559,-13.02236441,NA,485,-59.54,-3.08,rest,trapped,notpostabsorptive,
Artibeus jamaicensis,Chiroptera,Artibeus jamaicensis,Artibeus_jamaicensis,Mammal,45.2,36,25,35,76.8,6.98,0.316666667,KhaliqHof,FruiNect,1,0,0,0,0.3,17.5,3.9,5.7,4.940429986,1.63086,37.5,32.5,34.5,33.9,1.956104387,NA,23.85953559,-6.961764407,NA,496,-56.471,-20.054,NA,trapped,notpostabsorptive,
Artibeus lituratus,Chiroptera,Artibeus lituratus,Artibeus_lituratus,Mammal,70.1,36.7,25,36,108,9.23,0.483333333,KhaliqHof,FruiNect,1,0,0,0,-14,14.7,-7.33,-3.28,8.361052767,6.6717,40.2,32.4,35.53,34.8,2.399612844,NA,26.49293559,-29.57646441,NA,895,-46.37,-23.5,NA,trapped,notpostabsorptive,
Atelerix albiventris,Erinaceomorpha,Atelerix albiventris,Atelerix_albiventris,Mammal,450,35.2,30,35,146.7,28.21,0.827777778,KhaliqHof,Omnivore,1,NA,0,0,5.1,14.5,10.17,12.2,2.494594052,1.4826,42.5,40.3,42.1,41.9,2.323955707,NA,16.35263559,-16.47946441,NA,775,11.363,-0.48,rest,captive,NA,
Auliscomys boliviensis,Rodentia,Auliscomys boliviensis,Auliscomys_boliviensis,Mammal,76.8,36.9,22.7,31,110.6,7.96,NA,KhaliqHof,Invertebrate,1,NA,0,0,-12.7,-4.75,-10.5,-9.8,4.128748929,4.15128,29.5,19.05,27.775,27.2,4.85717276,NA,-14.83206441,-19.94906441,NA,86,-69.22,-18.46,NA,trapped,NA,
Baiomys taylori,Rodentia,Baiomys taylori,Baiomys_taylori,Mammal,7.3,36,29,36,14.2,2.03,0.080555556,KhaliqHof,PlantSeed,0,1,0,0,-6.5,-1.5,-5.9,-5.6,2.761959517,3.11346,37.7,34.8,36.7,36.36,1.302002835,NA,35.43688693,18.50160531,NA,205,-97.313,28.01,NA,trapped,NA,
Blarina brevicauda,Soricomorpha,Blarina brevicauda,Blarina_brevicauda,Mammal,20.5,38,25,33,66,5.08,0.291666667,KhaliqHof,Omnivore,1,0,0,0,-28.7,-24.7,-28.1,-27.7,4.628694185,3.40998,34.6,31,33.7,33.5,4.184632731,NA,55.61073559,32.87633559,NA,585,-76.32,42.273,rest,trapped,postabsorptive,
Burramys parvus,Diprotodontia,Burramys parvus,Burramys_parvus,Mammal,44.3,36.1,27.7,30,36.79444444,NA,0.205555556,Riek,Omnivore,1,1,0,0,-4.7,-3.4,-4.61,-4.52,0.822018422,0.29652,26.1,21.3,25.32,24.54,2.626059877,NA,-36.29227399,-37.22699382,NA,7,147.132,-36.976,rest,trapped,postabsorptive,
Cabassous centralis,Rodentia,Cabassous centralis,Cabassous_centralis,Mammal,3810,33.6,27.5,32.5,677.3,111.03,4.463888889,KhaliqHof,Invertebrate,1,0,0,0,8.3,19.1,11.135,12.3,3.365310886,2.37216,35,31.9,34.2,33.7,1.397040135,NA,16.88771477,0.096111105,NA,248,-80.462,8.38,rest,captive,postabsorptive,
Callithrix pygmaea,Primates,Cebuella pygmaea,Callithrix_pygmaea,Mammal,153,35.35,27,34,107.221,NA,0.599,KhaliqHof,FruiNect,0,NA,0,0,15.9,19,17,17.1,1.618460157,1.92738,34.1,32.7,33.9,33.7,0.726383935,NA,2.435035593,-12.62366441,NA,227,NA,NA,NA,NA,notpostabsorptive,
Calomys musculinus,Rodentia,Calomys musculinus,Calomys_musculinus,Mammal,16.9,36.3,27,NA,27.84444444,NA,0.155555556,Riek,PlantSeed,1,0,0,0,-5.4,2.1,-3.52,-2.9,2.474256255,2.37216,35.1,30.6,34.92,34.7,4.615109325,NA,-15.01656441,-48.10826441,NA,177,-67,-40,NA,trapped,NA,
Caluromys derbianus,Didelphimorpha,Caluromys derbianus,Caluromys_derbianus,Mammal,357,34,26.36,35,203.5,22.61,1.136111111,KhaliqHof,Omnivore,1,0,0,0,0.4,15.7,4.225,6.05,5.053156452,5.11497,35.9,32.6,35.2,34.45,1.700830703,NA,20.73459635,-4.502180852,NA,266,-79.423,9.08,rest,trapped,NA,
Canis latrans,Carnivora,Canis latrans,Canis_latrans,Mammal,10000,36,22,26,2700,192.86,15,KhaliqHof,VertFishScav,1,0,0,0,-38.9,-31.9,-36.9,-36.6,4.665668302,3.85476,37.8,25.8,35.9,35.2,8.663822234,NA,71.39065552,8.025040627,NA,1212,-112.05,33.262,rest,trapped,postabsorptive,
Canis lupus,Carnivora,Canis lupus,Canis_lupus,Mammal,18066.67,38.45,10,32.5,8072.402778,NA,45.09722222,KhaliqHof,VertFishScav,1,0,1,0,-45.8,-34.7,-42.4,-41.4,10.65691651,6.22692,42.9,25,39.065,35.9,8.863434254,NA,83.2795105,11.48660709,NA,3848,NA,NA,NA,captive,NA,
Canis mesomelas,Carnivora,Canis mesomelas,Canis_mesomelas,Mammal,7720,38.15,22,26,3768.944444,NA,21.05555556,KhaliqHof,Omnivore,1,0,0,1,5.3,13.8,5.8,6,6.254414858,9.6369,42.6,35.1,41.3,40.35,3.854170209,NA,18.53526369,-34.83982849,NA,476,22.566,-30.333,rest,trapped,postabsorptive,
Cannomys badius,Rodentia,Cannomys badius,Cannomys_badius,Mammal,344,36,26.74,34.5,172,19.11,0.958333333,KhaliqHof,PlantSeed,1,0,0,0,-18.6,8.7,-0.14,3.06,5.330040946,3.11346,38.6,34.3,37.5,36.04,2.410097185,NA,27.77783559,11.35913658,NA,217,100.59,15.52,rest,captive,NA,
