Species,Order,Spec.syn,gen_spec,Taxa,Mass_g,Tb,Tlc,Tuc,BMR_mlO2_h,CMIN_mlO2_hC,BMR_W,Source,diet,Nocturnal,torpor,Nconstrained,Sconstrained,Tmin,Tmedian.min,T5q.min,T10q.min,Tsd.min,Tmad.min,Tmax,Tmedian.max,T5q.max,T10q.max,Tsd.max,Tmad.max,UpperLat,LowerLat,ShapeName,Area,CollectionLon,CollectionLat,Phase,capture_quality,PostabsorptiveState,
Malurus cyaneus,Passeriformes,Malurus cyaneus,Malurus_cyaneus,Bird,8.2,41,26,35,24.9,1.66,NA,KhaliqHof,Invertebrate,0,NA,0,1,1.9,5.1,3.3,3.6,2.806954327,2.07564,34.9,32.4,34.5,33.7,1.594555989,1.4826,-22.76428223,-43.61572266,Malurus_cyaneus_22703736,221,145,-37.48,rest,trapped,postabsorptive,
Manacus vitellinus,Passeriformes,Manacus vitellinus,Manacus_vitellinus,Bird,15.5,37.9,26,32,40.2,3.38,0.233333333,KhaliqHof,FruiNect,0,1,0,0,13.1,20.3,15.24,17.01,2.239660733,2.07564,34.5,30.6,33.895,32.89,1.213369769,0.7413,9.637512207,2.365112305,Manacus_vitellinus_22701109,88,-79.8,9,rest,trapped,postabsorptive,
Eremiornis carteri,Passeriformes,Eremiornis carteri,Eremiornis_carteri,Bird,12.3,39.1,30,39,34.1,3.75,NA,KhaliqHof,Invertebrate,0,NA,0,0,2.1,7,3.1,3.9,1.879462633,1.4826,41.2,38.5,40.79,40.2,1.502063319,1.4826,-16.85070801,-26.78277588,Eremiornis_carteri_22715517,403,115.4,-20.79,rest,trapped,postabsorptive,
Anthreptes collaris,Passeriformes,Anthreptes collaris,Anthreptes_collaris,Bird,8.3,38.5,25,28,29.2,2.16,NA,KhaliqHof,Invertebrate,0,NA,0,1,7.3,16.2,10.24,11.5,3.135523566,2.66868,40.6,34.8,38.06,37.32,2.715278705,2.2239,14.86712647,-34.21447754,Anthreptes_collaris_22717668,749,30.2,0.15,rest,trapped,NA,
Nectarinia bifasciata,Passeriformes,Cinnyris bifasciatus,Nectarinia_bifasciata,Bird,6.2,39,24,27,15.8,1.05,NA,KhaliqHof,Omnivore,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Nectarinia cuprea,Passeriformes,Nectarinia cuprea,Nectarinia_cuprea,Bird,7.1,41,31,35,25.4,2.54,NA,KhaliqHof,FruiNect,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Nectarinia kilimensis,Passeriformes,Nectarinia kilimensis,Nectarinia_kilimensis,Bird,16.2,40,25,32,44.9,2.99,0.261111111,KhaliqHof,Omnivore,0,0,0,0,6.6,11.7,6.9,7,3.328394273,4.22541,33.8,29.9,33.2,32.15,2.584024215,1.92738,2.389282227,-20.44897461,Nectarinia_kilimensis_22717970,156,30.2,0.15,rest,trapped,NA,
Nectarinia senegalensis,Passeriformes,Chalcomitra senegalensis,Nectarinia_senegalensis,Bird,13.7,40,30,35,41.1,4.11,NA,KhaliqHof,Omnivore,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Nectarinia tacazze,Passeriformes,Nectarinia tacazze,Nectarinia_tacazze,Bird,13.5,41.4,25,31,42.1,2.57,0.244444444,KhaliqHof,Omnivore,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Passer domesticus,Passeriformes,Passer domesticus,Passer_domesticus,Bird,23,38.6,20,35,63.1,3.39,0.366666667,KhaliqHof,PlantSeed,0,0,0,0,-55.5,-24,-44.9,-42.3,19.95866653,17.64294,47.1,29.4,42.9,38.1,7.344559999,6.96822,71.18811035,-55.97680664,Passer_domesticus_22718174,3453,-89.23,42.45,active,trapped,postabsorptive,
Pipra mentalis,Passeriformes,Ceratopipra mentalis,Pipra_mentalis,Bird,12.3,37.9,26,32,33.5,2.82,0.194444444,KhaliqHof,FruiNect,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Onychognathus morio,Passeriformes,Onychognathus morio,Onychognathus_morio,Bird,128,39.1,15,30,221.3,9.18,NA,KhaliqHof,Omnivore,0,NA,0,1,-1.9,13.9,5.7,8,3.770351937,1.92738,42.4,38.1,41.8,41.5,3.812499679,3.7065,17.45269775,-34.83978272,Onychognathus_morio_22710610,658,30.48,-29.44,rest,trapped,postabsorptive,
Onychognathus tristramii,Passeriformes,Onychognathus tristramii,Onychognathus_tristramii,Bird,123,40.6,21.5,36.5,196,10.26,NA,KhaliqHof,FruiNect,0,NA,0,0,1.1,9.8,2.98,3.56,3.350040665,3.26172,43.6,36.3,40.5,40.3,3.340168449,4.4478,33.06768799,13.34887695,Onychognathus_tristramii_22710604,277,34.47,32.4,rest,trapped,postabsorptive,
Acridotheres cristatellus,Passeriformes,Acridotheres cristatellus,Acridotheres_cristatellus,Bird,117.7,41.4,25,32.5,119.5,7.29,1.2092,KhaliqHof,Omnivore,0,NA,0,1,-18.8,-4.7,-16.06,-13.56,8.384703207,4.4478,34.8,31.7,33.63,33.16,1.854234324,1.33434,49.29187012,-1.049377441,Acridotheres_cristatellus_22710946,355,120.51,27.29,rest,trapped,notpostabsorptive,
Hylophylax naevioides,Passeriformes,Hylophylax naevioides,Hylophylax_naevioides,Bird,16.1,40,30,34,41.1,4.11,0.238888889,KhaliqHof,Invertebrate,0,0,0,0,8,17.9,10.26,13.2,3.030826928,2.2239,35,31.6,34.4,34.2,2.238484437,1.92738,16.02709961,-2.894897461,Hylophylax_naevioides_22701911,185,-79,9,rest,trapped,notpostabsorptive,
Cyanerpes cyaneus,Passeriformes,Cyanerpes cyaneus,Cyanerpes_cyaneus,Bird,13.5,40.22,25,35,46.8,3.07,0.272222222,KhaliqHof,FruiNect,0,0,0,0,2.4,17.1,10.7,12.4,3.440083778,2.9652,36.6,32.4,35,34.3,1.701617511,1.18608,23.1940918,-23.35791016,Cyanerpes_cyaneus_22723012,774,-64.28,10.15,rest,trapped,NA,
Thryothorus ludovicianus,Passeriformes,Thryothorus ludovicianus,Thryothorus_ludovicianus,Bird,14.9,39.4,27,35,61.7,4.98,0.358333333,KhaliqHof,Invertebrate,0,0,0,0,-15.3,-10.2,-14.7,-13.4,3.806263786,2.52042,36.9,32.1,34.1,33.2,2.387754018,1.18608,45.64331055,12.63751221,Thryothorus_ludovicianus_22711450,381,-82.19,29.39,rest,trapped,notpostabsorptive,
Aulacorhynchus prasinus,Piciformes,Aulacorhynchus prasinus,Aulacorhynchus_prasinus,Bird,174.7,38.1,23,34,142.9,9.46,0.830555556,KhaliqHof,Omnivore,0,0,0,0,1.4,16.8,3.27,4.28,5.64175782,2.81694,35.7,33.6,35.4,35.22,1.175234315,1.18608,22.91302846,12.47408364,Aulacorhynchus_prasinus_22726170,179,NA,NA,rest,captive,postabsorptive,
Aulacorhynchus sulcatus,Piciformes,Aulacorhynchus sulcatus,Aulacorhynchus_sulcatus,Bird,131.7,38.8,23,31,116.6,7.38,0.677777778,KhaliqHof,Omnivore,0,0,1,0,10.6,17,11.975,13.95,2.409875515,2.52042,33.4,30.4,32.55,32.2,2.434447234,1.63086,11.30698305,9.778033443,Aulacorhynchus_sulcatus_61567591,76,-69.08,11,rest,trapped,postabsorptive,
Pteroglossus aracari,Piciformes,Pteroglossus aracari,Pteroglossus_aracari,Bird,200.7,40.9,29,35,153,12.86,0.888888889,KhaliqHof,FruiNect,0,0,0,0,5.8,17,8.25,11.65,3.73172304,3.7065,35.8,32.15,34.5,33,1.492035192,0.81543,10.76507568,-28.08770752,Pteroglossus_aracari_22682017,356,-67.27,-8.59,rest,captive,postabsorptive,
Ramphastos dicolorus,Piciformes,Ramphastos dicolorus,Ramphastos_dicolorus,Bird,328.9,39.2,20,34,217.5,11.33,1.263888889,KhaliqHof,FruiNect,0,0,0,0,7.6,10.9,8.1,8.7,2.182979885,2.2239,34.9,31.4,33.76,32.8,1.434222893,1.18608,-17.42370605,-30.3302002,Ramphastos_dicolorus_22682129,209,NA,NA,rest,captive,postabsorptive,
Ramphastos toco,Piciformes,Ramphastos toco,Ramphastos_toco,Bird,582,39.1,17,34,416.8,18.86,2.422222222,KhaliqHof,FruiNect,0,0,0,0,5.4,9.9,6.5,7.42,2.955024249,3.26172,34.8,32.8,34.54,34.3,1.265526174,0.88956,7.29888916,-33.75070572,Ramphastos_toco_22682164,333,NA,NA,rest,captive,postabsorptive,
Ramphastos tucanus,Piciformes,Ramphastos tucanus,Ramphastos_tucanus,Bird,420.3,39.6,25,35,294,20.14,1.708333333,KhaliqHof,FruiNect,0,0,0,0,15.7,20.8,16.38,17.1,2.009067793,2.07564,36.2,33.3,35.22,35.1,1.264261352,1.18608,10.76507568,-10.6543418,Ramphastos_tucanus_22682153,297,-52.48,-7.14,rest,captive,postabsorptive,
Selenidera maculirostris,Piciformes,Selenidera maculirostris,Selenidera_maculirostris,Bird,130.5,38.6,24,34,186.4,12.77,NA,KhaliqHof,FruiNect,0,NA,0,0,8.4,11.1,9.13,9.76,2.228518717,1.03782,32.1,30.1,31.57,31.34,1.370020628,1.18608,-14.13928223,-30.20617676,Selenidera_maculirostris_22682093,207,NA,NA,rest,captive,postabsorptive,
Amazona viridigenalis,Psittaciformes,Amazona viridigenalis,Amazona_viridigenalis,Bird,341,41.1,26.5,35,344.2,23.58,NA,KhaliqHof,PlantSeed,0,NA,0,0,7.1,9.8,7.1,7.25,3.503535826,3.55824,37.6,35.5,37.475,37.25,1.902380914,2.29803,25.92169189,19.84692383,Amazona_viridigenalis_22686259,46,NA,NA,rest,captive,postabsorptive,
Bolborhynchus lineola,Psittaciformes,Bolborhynchus lineola,Bolborhynchus_lineola,Bird,55.7,40.4,28,32,107.1,8.64,NA,KhaliqHof,PlantSeed,0,NA,0,0,-6.6,12.5,0,2.2,5.632129515,4.4478,34.2,28.4,32.4,31.6,2.990960477,2.81694,20.1321893,-17.86581682,Bolborhynchus_lineola_22685913,341,NA,NA,rest,captive,postabsorptive,
Neophema pulchella,Psittaciformes,Neophema pulchella,Neophema_pulchella,Bird,40,40,28.3,32,94.2,8.05,0.580555556,KhaliqHof,PlantSeed,0,0,0,1,-2.2,5.05,-1.85,-0.65,3.09109084,2.9652,35.4,33.1,35.2,34.85,1.781577178,1.92738,-25.76092529,-38.05718994,Neophema_pulchella_22685209,116,NA,NA,rest,captive,postabsorptive,
Neophema splendida,Psittaciformes,Neophema splendida,Neophema_splendida,Bird,40.86,40,26,29,90.8,6.49,NA,KhaliqHof,PlantSeed,0,NA,0,1,2.6,4.5,3.7,3.8,0.585348288,0.59304,38.7,35.3,38.365,37.4,1.737514721,1.77912,-25.78588867,-35.19061279,Neophema_splendida_22685214,208,NA,NA,rest,captive,postabsorptive,
Aegolius funereus,Strigiformes,Aegolius funereus,Aegolius_funereus,Bird,130,39.4,10,25,194.6,6.62,1.130555556,KhaliqHof,VertFishScav,1,0,0,0,-52.8,-31.9,-45.7,-42.9,11.03113536,8.45082,34.8,23.4,29.9,28.3,5.175557854,5.33736,70.22869873,32.15510032,Aegolius_funereus_22689362,3349,24.38,64.48,rest,trapped,postabsorptive,
Bubo virginianus,Strigiformes,Bubo virginianus,Bubo_virginianus,Bird,1000,39.9,20.3,32.2,746.7,38.1,4.338888889,KhaliqHof,VertFishScav,1,0,0,0,-36.8,-29.9,-35.8,-35.3,17.56232482,4.74432,37.8,27.9,35.65,34.8,8.379849114,9.78516,68.51971436,-35.8013916,Bubo_virginianus_61752071,1651,-112.04,33.27,rest,trapped,postabsorptive,
Glaucidium gnoma,Strigiformes,Glaucidium gnoma,Glaucidium_gnoma,Bird,52,39,27,34,71.7,5.98,0.463888889,KhaliqHof,Invertebrate,1,0,0,0,-11.1,2.1,-10.405,-9.33,6.390025027,5.48562,40.7,34.05,38.9,37.82,3.243526835,2.59455,35.09038053,16.08565014,Glaucidium_gnoma_61791135,200,-109.08,31,rest,trapped,postabsorptive,
Megascops asio,Strigiformes,Megascops asio,Megascops_asio,Bird,141.5,39,26,34,85.1,6.55,0.586,KhaliqHof,Omnivore,1,NA,0,0,-24.5,-16.8,-23.6,-23.2,4.248573097,4.00302,37.8,31.9,34.9,34.5,3.27484343,1.63086,50.05749512,11.39831543,Megascops_asio_22688758,509,-109.84,36.37,rest,trapped,postabsorptive,
Megascops trichopsis,Strigiformes,Megascops trichopsis,Megascops_trichopsis,Bird,119,37,27,35,79.3,7.93,NA,KhaliqHof,Invertebrate,1,NA,0,0,-5.4,5.75,-3.3,-1.2,6.767325827,9.34038,40.6,33.2,37.4,36.6,3.331787096,3.26172,31.89489746,12.76367187,Megascops_trichopsis_22688766,284,-109,36.3,rest,trapped,postabsorptive,
Strix occidentalis,Strigiformes,Strix occidentalis,Strix_occidentalis,Bird,571,38.5,17,25.2,460.3,21.41,2.675,KhaliqHof,VertFishScav,1,0,0,0,-21.7,-10.4,-18.14,-16.42,7.3869473,6.37518,41.3,31.4,40.2,38.64,5.131979615,4.89258,51.60949707,19.46612549,Strix_occidentalis_22689089,273,-111.05,33.27,rest,trapped,postabsorptive,
Tyto alba,Strigiformes,Tyto alba,Tyto_alba,Bird,533.2,37.8,22.5,32.5,308.8,20.18,1.794444444,KhaliqHof,VertFishScav,1,0,0,1,-23.4,3.55,-16.5,-13.7,13.90109527,20.53401,41.3,30.5,36,34.8,5.294729349,4.00302,58.06689453,-55.72027588,Tyto_alba_22688504,3306,-81.22,28.37,rest,trapped,postabsorptive,
Turnix suscitator,Turniciformes,Turnix suscitator,Turnix_suscitator,Bird,58.1,39,33,39,66.4,11.07,0.386111111,KhaliqHof,PlantSeed,0,0,0,1,-17.3,6.1,-8.6,-7.11,7.61991315,5.9304,42.2,32.2,38.72,35.31,2.546767916,1.33434,34.80950928,-8.961303711,Turnix_suscitator_22680549,690,102.13,4.12,rest,captive,postabsorptive,
Abrothrix andinus,Rodentia,Abrothrix andinus,Abrothrix_andinus,Mammal,34.6,39.3,26.8,34,64.7,5.26,0.361111111,KhaliqHof,PlantSeed,1,0,0,0,-13,-2.85,-11.665,-9.85,4.473547721,4.89258,31,21,29.355,27.91,4.761207817,NA,-14.05366441,-34.65546441,NA,90,-69.22,-18.46,NA,trapped,NA,
Abrothrix longipilis,Rodentia,Abrothrix longipilis,Abrothrix_longipilis,Mammal,42.3,36.5,27.3,32,57.5,6.05,0.322222222,KhaliqHof,PlantSeed,1,0,0,0,-6.2,-1.7,-4.335,-3.64,1.610238063,1.18608,30.8,26.25,30.435,30.14,5.422071727,NA,-30.29476441,-54.17446441,NA,94,-71.221,-45.541,NA,trapped,NA,
Acomys cahirinus,Rodentia,Acomys cahirinus,Acomys_cahirinus,Mammal,42,37.65,27,32.5,46.182,NA,0.258,KhaliqHof,PlantSeed,1,NA,0,0,-8.3,6.75,-3.4,1.04,6.397349004,3.48411,47.4,39.9,46.8,45.4,3.454819589,NA,32.91314316,11.01090013,NA,608,35.02,30.03,rest,trapped,postabsorptive,
Ailurus fulgens,Carnivora,Ailurus fulgens,Ailurus_fulgens,Mammal,5740,37.6,25,36,878.2,69.7,4.9,KhaliqHof,PlantSeed,1,0,0,0,-21.8,-13.4,-18.5,-17.7,5.998716697,5.1891,32.8,25.55,30.9,29.97,4.248237815,NA,33.67047119,24.1809082,NA,274,NA,NA,rest,NA,postabsorptive,
Akodon azarae,Rodentia,Akodon azarae,Akodon_azarae,Mammal,23.5,37.7,30,32,51,6.62,0.222222222,KhaliqHof,Invertebrate,1,0,0,0,-0.1,3.65,0.485,0.97,3.093997717,3.92889,34.7,31.75,34.5,34.2,2.032984177,NA,-24.70396441,-40.99266441,NA,198,-67.9,-40,rest,captive,NA,
Alopex lagopus,Carnivora,Vulpes lagopus,Alopex_lagopus,Mammal,3970,37.5,5,NA,2141.038889,NA,11.96111111,Riek,NA,NA,0,1,0,-45.8,-34.9,-42.6,-41.9,8.191784632,6.07866,24.1,18.8,22,21.4,4.27221938,NA,83.62741852,47.29178766,NA,4099,NA,NA,NA,NA,NA,
Ammospermophilus leucurus,Rodentia,Ammospermophilus leucurus,Ammospermophilus_leucurus,Mammal,96,37.2,31,34,103,16.61,0.552777778,KhaliqHof,Omnivore,0,0,0,0,-19.5,-10.6,-16.1,-15.41,3.117962957,3.85476,37.4,32.7,35.6,35.4,3.545998465,NA,44.14162078,22.86713219,NA,170,-117.51,34.36,rest,trapped,postabsorptive,
Anoura caudifer,Chiroptera,Anoura caudifer,Anoura_caudifer,Mammal,11.5,36.3,26,35,42.7,4.15,0.158333333,KhaliqHof,Omnivore,1,0,0,0,-13,10.85,-8.055,-6.21,8.628567276,5.85627,35.4,32.4,34.7,34.6,1.882987104,NA,12.46333559,-30.89436441,NA,510,-44.19,-19.07,NA,trapped,notpostabsorptive,
Anoura latidens,Chiroptera,Anoura latidens,Anoura_latidens,Mammal,13.6,38.12,34.7,36.2,36.9,10.79,0.205555556,KhaliqHof,Omnivore,1,0,0,0,-7.8,17.9,3.735,8.5,5.450215441,3.40998,35.5,31,34.5,33.91,2.747575667,NA,11.05313559,-11.59926441,NA,250,-71.9,8.36,NA,trapped,postabsorptive,
