Species,Order,Spec.syn,gen_spec,Taxa,Mass_g,Tb,Tlc,Tuc,BMR_mlO2_h,CMIN_mlO2_hC,BMR_W,Source,diet,ForStrat,Nocturnal,Climate_McN,Torpor_McN,torpor,Nconstrained,Sconstrained,Tmin,Tmedian.min,T5q.min,T10q.min,Tsd.min,Tmad.min,Tmax,Tmedian.max,T5q.max,T10q.max,Tsd.max,Tmad.max,UpperLat,LowerLat,ShapeName,Area
Aulacorhynchus sulcatus,Piciformes,Aulacorhynchus sulcatus,Aulacorhynchus_sulcatus,Bird,131.7,38.8,23,31,116.6,7.38,0.677777778,KhaliqHof,Omnivore,NA,0,TR,N,0,1,0,10.6,17,11.975,13.95,2.409875515,2.52042,33.4,30.4,32.55,32.2,2.434447234,1.63086,11.30698305,9.778033443,Aulacorhynchus_sulcatus_61567591,76
Pteroglossus aracari,Piciformes,Pteroglossus aracari,Pteroglossus_aracari,Bird,200.7,40.9,29,35,153,12.86,0.888888889,KhaliqHof,FruiNect,NA,0,TR,N,0,0,0,5.8,17,8.25,11.65,3.73172304,3.7065,35.8,32.15,34.5,33,1.492035192,0.81543,10.76507568,-28.08770752,Pteroglossus_aracari_22682017,356
Ramphastos dicolorus,Piciformes,Ramphastos dicolorus,Ramphastos_dicolorus,Bird,328.9,39.2,20,34,217.5,11.33,1.263888889,KhaliqHof,FruiNect,NA,0,TR,N,0,0,0,7.6,10.9,8.1,8.7,2.182979885,2.2239,34.9,31.4,33.76,32.8,1.434222893,1.18608,-17.42370605,-30.3302002,Ramphastos_dicolorus_22682129,209
Ramphastos toco,Piciformes,Ramphastos toco,Ramphastos_toco,Bird,582,39.1,17,34,416.8,18.86,2.422222222,KhaliqHof,FruiNect,NA,0,TR,N,0,0,0,5.4,9.9,6.5,7.42,2.955024249,3.26172,34.8,32.8,34.54,34.3,1.265526174,0.88956,7.29888916,-33.75070572,Ramphastos_toco_22682164,333
Ramphastos tucanus,Piciformes,Ramphastos tucanus,Ramphastos_tucanus,Bird,420.3,39.6,25,35,294,20.14,1.708333333,KhaliqHof,FruiNect,NA,0,TR,N,0,0,0,15.7,20.8,16.38,17.1,2.009067793,2.07564,36.2,33.3,35.22,35.1,1.264261352,1.18608,10.76507568,-10.6543418,Ramphastos_tucanus_22682153,297
Selenidera maculirostris,Piciformes,Selenidera maculirostris,Selenidera_maculirostris,Bird,130.5,38.6,24,34,186.4,12.77,NA,KhaliqHof,FruiNect,NA,0,NA,NA,NA,0,0,8.4,11.1,9.13,9.76,2.228518717,1.03782,32.1,30.1,31.57,31.34,1.370020628,1.18608,-14.13928223,-30.20617676,Selenidera_maculirostris_22682093,207
Amazona viridigenalis,Psittaciformes,Amazona viridigenalis,Amazona_viridigenalis,Bird,341,41.1,26.5,35,344.2,23.58,NA,KhaliqHof,PlantSeed,NA,0,NA,NA,NA,0,0,7.1,9.8,7.1,7.25,3.503535826,3.55824,37.6,35.5,37.475,37.25,1.902380914,2.29803,25.92169189,19.84692383,Amazona_viridigenalis_22686259,46
Bolborhynchus lineola,Psittaciformes,Bolborhynchus lineola,Bolborhynchus_lineola,Bird,55.7,40.4,28,32,107.1,8.64,NA,KhaliqHof,PlantSeed,NA,0,NA,NA,NA,0,0,-6.6,12.5,0,2.2,5.632129515,4.4478,34.2,28.4,32.4,31.6,2.990960477,2.81694,20.1321893,-17.86581682,Bolborhynchus_lineola_22685913,341
Neophema pulchella,Psittaciformes,Neophema pulchella,Neophema_pulchella,Bird,40,40,28.3,32,94.2,8.05,0.580555556,KhaliqHof,PlantSeed,NA,0,T,N,0,0,1,-2.2,5.05,-1.85,-0.65,3.09109084,2.9652,35.4,33.1,35.2,34.85,1.781577178,1.92738,-25.76092529,-38.05718994,Neophema_pulchella_22685209,116
Neophema splendida,Psittaciformes,Neophema splendida,Neophema_splendida,Bird,40.86,40,26,29,90.8,6.49,NA,KhaliqHof,PlantSeed,NA,0,NA,NA,NA,0,1,2.6,4.5,3.7,3.8,0.585348288,0.59304,38.7,35.3,38.365,37.4,1.737514721,1.77912,-25.78588867,-35.19061279,Neophema_splendida_22685214,208
Bubo virginianus,Strigiformes,Bubo virginianus,Bubo_virginianus,Bird,1000,39.9,20.3,32.2,746.7,38.1,4.338888889,KhaliqHof,VertFishScav,NA,1,T/TR,N,0,0,0,-36.8,-29.9,-35.8,-35.3,17.56232482,4.74432,37.8,27.9,35.65,34.8,8.379849114,9.78516,68.51971436,-35.8013916,Bubo_virginianus_61752071,1651
Glaucidium gnoma,Strigiformes,Glaucidium gnoma,Glaucidium_gnoma,Bird,52,39,27,34,71.7,5.98,0.463888889,KhaliqHof,Invertebrate,NA,1,T/TR,N,0,0,0,-11.1,2.1,-10.405,-9.33,6.390025027,5.48562,40.7,34.05,38.9,37.82,3.243526835,2.59455,35.09038053,16.08565014,Glaucidium_gnoma_61791135,200
